t_s,batch,n_prefill,prefilling,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
28.44107,15,0,1,256,28.85578199993688,37.82619899993733,7.621005000146397,66.7268049996892,0.34535104364326374,1581,0,0,1069,0.9833956969130028,0
28.5096,16,0,0,184,30.28632799987463,38.18133000004309,8.267131999673438,68.51743199968041,0.3282237673830595,1582,0,0,1071,0.9932306255835668,0
28.54787,16,0,0,0,0.0005480001163959969,38.230759000271064,8.24539100040056,38.26943000012761,0.32801642451042323,1583,0,0,1072,0.9932369402985075,0
28.58659,16,0,0,0,0.0003239997568016406,38.67154799991113,8.243297999797505,38.71342599995842,0.3278093434343434,1584,0,0,1074,0.99231843575419,0
28.62606,16,0,0,0,0.0002890001269406639,39.43055399986406,8.396524000090722,39.46849700014354,0.327602523659306,1585,0,0,1074,0.9932495344506518,0
28.66474,16,0,0,0,0.00030499995773425326,38.62570000001142,8.51729099986187,38.66506600024877,0.3273959646910467,1586,0,0,1077,0.9914113277623027,0
28.70389,16,0,0,0,0.0002970000423374586,39.10574600013206,8.266373999958887,39.14607399974557,0.327189666036547,1587,0,0,1077,0.9923398328690808,0
28.74293,16,0,0,0,0.0004079997779626865,39.0003570000772,8.323288000156026,39.03696699990178,0.3269836272040302,1588,0,0,1077,0.9932683379758589,0
28.78329,16,0,0,0,0.00029900002118665725,40.311961000043084,8.383945999867137,40.35293199967782,0.3267778477029578,1589,0,0,1079,0.992354031510658,0
28.82254,16,0,0,0,0.0003820000529231038,39.18688400017345,8.334598000146798,39.2317699997875,0.32657232704402517,1590,0,0,1081,0.9914431082331174,0
28.8611,16,0,0,0,0.00028400017981766723,38.51501400004054,8.432322999851749,38.55096500001309,0.3263670647391578,1591,0,0,1081,0.992368177613321,0
28.92482,16,1,1,256,25.510358000246924,38.118362999739475,8.292502000131208,63.73200500001985,0.3261620603015075,1592,0,0,1131,0.9249005305039788,0
28.99137,15,0,1,256,28.38467799983846,38.09927999964202,7.955335000133346,66.52829100039526,0.31027411592383347,1593,0,0,1131,0.9398762157382847,0
29.05867,15,0,1,256,29.03583300030732,38.20877499993003,7.940992999920127,67.2893840001052,0.3100794646591384,1594,0,0,1131,0.9548519009725907,0
29.12725,15,0,1,256,29.95085900010963,38.57321499981481,8.016485999633005,68.57634900006815,0.3098850574712644,1595,0,0,1132,0.9689708480565371,0
29.19546,15,0,1,256,29.56899799983148,38.5721510001531,8.030027999666345,68.19122500019148,0.30969089390142024,1596,0,0,1132,0.9839333038869258,0
29.26649,16,0,0,196,30.745911999929376,40.22725100003299,8.751159999974334,71.02398999995785,0.29488885410144017,1597,0,0,1134,0.9938822751322751,0
29.33171,16,1,1,256,25.45287599969015,39.683984000021155,8.599684000273555,65.21583899984762,0.2947043178973717,1598,0,0,1198,0.9549770450751253,0
29.39957,16,0,1,256,29.373939999914,38.420270000187884,8.63092300005519,67.84477800010791,0.29452001250781734,1599,0,0,1199,0.968359049207673,0
29.46811,16,0,1,256,28.95355600003313,39.514054999926884,8.769985000071756,68.53792800029623,0.2943359375,1600,0,0,1132,0.9804549469964664,0
29.53643,16,0,0,224,29.758332999790582,38.5045960001662,8.551308999813045,68.3040029998665,0.29801686445971265,1601,0,0,1132,0.9937058303886925,0
29.57479,16,0,0,0,0.0003060004019062035,38.323297999795614,8.550910000394651,38.362070999937714,0.297830836454432,1602,0,0,1135,0.9919603524229075,0
29.61307,16,0,0,0,0.00028800013751606457,38.24131800001851,8.506685000156722,38.274883999747544,0.2976450405489707,1603,0,0,1135,0.9928414096916299,0
29.65159,16,0,0,0,0.0002849997144949157,38.47888399968724,8.530149999842251,38.51301200029411,0.297459476309227,1604,0,0,1135,0.9937224669603524,0
29.69011,16,0,0,0,0.0002819997462211177,38.469831999918824,8.56282899985672,38.50844299995515,0.2972741433021807,1605,0,0,1137,0.992854001759015,0
29.72952,16,0,0,0,0.0002879996827687137,39.36225999996168,8.5527579999507,39.40660700027365,0.2970890410958904,1606,0,0,1139,0.9919885864793678,0
29.76913,16,0,0,0,0.0003350000952195842,39.56665699979567,8.887738999874273,39.60758599987457,0.2969041692594897,1607,0,0,1139,0.9928665496049166,0
29.80887,16,0,0,0,0.00035699986256076954,39.689093999641045,8.750039000005927,39.73184200003743,0.2967195273631841,1608,0,0,1140,0.9928728070175439,0
29.84797,16,0,0,0,0.00034599997889017686,39.04959499959659,8.696190999671671,39.08750199980204,0.29653511497824736,1609,0,0,1141,0.9928790534618755,0
29.88688,16,0,0,0,0.0005119995876157191,38.86547599995538,8.639743999992788,38.903514000139694,0.29635093167701865,1610,0,0,1141,0.9937554776511832,0
29.92721,16,0,0,0,0.00028800013751606457,40.29061000028378,8.775139000135823,40.33321999986583,0.29616697703289885,1611,0,0,1142,0.993760945709282,0
29.96738,16,0,0,0,0.0003790000846493058,40.119224000136455,8.717962999980955,40.15828999990845,0.29598325062034736,1612,0,0,1142,0.9946366024518388,0
30.00654,16,0,0,0,0.0002939996193163097,39.11093299984714,8.718336000129057,39.15280899991558,0.29579975201487907,1613,0,0,1144,0.9937718531468531,0
30.04581,16,0,0,0,0.00028399972507031634,39.227950000167766,8.642294999845035,39.26541600003475,0.2956164807930607,1614,0,0,1144,0.9946459790209791,0
30.0851,16,0,0,0,0.00030499995773425326,39.226209000389645,8.736918000067817,39.268666000225494,0.29543343653250775,1615,0,0,1145,0.994650655021834,0
30.12561,16,0,0,0,0.0003010000000358559,40.45093199965777,8.731521000299836,40.498317000128736,0.2952506188118812,1616,0,0,1147,0.9937881429816914,0
30.16592,16,0,0,0,0.00030999990485724993,40.23975899963261,8.839350000016566,40.307460999883915,0.2950680272108843,1617,0,0,1073,0.9935344827586207,0
30.20561,15,0,0,0,0.00031299987313104793,39.63886600013211,8.313556999837601,39.68288499982009,0.2971981870622167,1618,0,0,1076,0.991635687732342,0
30.24575,15,0,0,0,0.0006889999895065557,40.09053600020707,8.23812499993437,40.126484999746026,0.29701461807700225,1619,0,0,1076,0.992506970260223,0
30.28502,15,0,0,0,0.00030499995773425326,39.22420900016732,8.412578999923426,39.26576899993961,0.29683127572016466,1620,0,0,1076,0.9933782527881041,0
30.32366,15,0,0,0,0.00028500016924226657,38.59854799975437,8.217091000005894,38.64157699990756,0.2966481595722805,1621,0,0,1077,0.9933263695450325,0
30.36354,15,0,0,0,0.0006360000952554401,39.823522999995475,8.27891000017189,39.87103300005401,0.29646526921496097,1622,0,0,1079,0.992354031510658,0
30.42855,15,1,1,256,26.366364000296016,38.5625210001308,8.27468699981182,65.00115600010758,0.2962826042308482,1623,0,0,1125,0.9668333333333333,0
30.49834,15,0,1,256,29.942481000034604,39.782238000043435,8.356649999768706,69.77972999993654,0.2961001642036125,1624,0,0,1126,0.9810168738898757,0
30.59654,16,1,1,256,57.88692299984177,40.238431000034325,8.724751000045217,98.19625399995857,0.3119615384615385,1625,0,0,1171,0.9578351836037575,0
30.6657,16,0,1,256,29.85179999996035,39.2465979998633,8.593692999966152,69.14652299974478,0.31176968019680196,1626,0,0,1171,0.9723526900085397,0
30.73544,16,1,2,256,30.055120000270108,39.6061730002657,8.6887160000515,69.73395100021662,0.3115780577750461,1627,0,0,1228,0.9410627035830619,0
30.83236,17,2,3,256,56.62801500011483,40.20156400019914,9.031626999785658,96.91531599992231,0.32678132678132676,1628,0,0,1357,0.8641764922623434,0
30.90164,17,0,3,256,30.065790000207926,39.155705999746715,9.02743400001782,69.27353499986566,0.3265807243707797,1629,0,0,1359,0.8754598969830758,0
30.97193,17,0,3,256,30.124317000172596,40.10604900031467,9.089916999982961,70.27918699986913,0.3263803680981595,1630,0,0,1359,0.8880150846210448,0
31.04052,17,0,3,256,30.037763000109408,38.498850999985734,9.028668000155449,68.58291600019584,0.32618025751072965,1631,0,0,1360,0.8999080882352941,0
31.13918,18,1,3,256,56.64759100000083,41.93150099990817,9.693236999737564,98.6545739997382,0.3332652505446623,1632,0,0,1418,0.8751763046544428,0
31.21052,18,0,3,256,30.469269000150234,40.80311999996411,9.779972000160342,71.3348579997728,0.33306116894604343,1633,0,0,1419,0.8866279069767442,0
31.28274,18,0,3,256,30.771026000365964,41.38114699981088,10.137093999674107,72.2072680000565,0.33285733714130283,1634,0,0,1423,0.8961700632466619,0
31.35455,18,0,3,256,30.628958999841416,41.1252969997804,9.671709000031115,71.80343300024106,0.33265375467210334,1635,0,0,1423,0.9082044975404076,0
31.42649,18,0,3,256,30.844446999708452,41.031998000107706,9.682738999799767,71.93882499996107,0.3324504210812279,1636,0,0,1377,0.9177106027596224,0
31.52469,18,1,3,256,57.2453099998711,40.87105700000393,9.889931000088836,98.1909820002329,0.3065227720084165,1637,0,0,1421,0.9013458831808585,0
31.5958,18,0,3,256,30.258954000146332,40.78823800000464,9.831181000208744,71.09944599960727,0.30633563966897304,1638,0,0,1423,0.9121134926212228,0
